"Language","original","english","german","french","spanish","portuguese","italian","polish","russian","czech","hungarian","japanese","chinesesimp","chinese",
"bet_on_number","Bet on a number between 2 and 12","Bet on a number between 2 and 12","Wette auf eine Zahl von 1 bis 12","Parier sur un nombre de 1 à 12","Apuesta por un número del 1 al 12","Aposta num número de 1 a 12","Scommettere su un numero da 1 a 12","Postaw na liczbę od 1 do 12.","Ставка на число от 1 до 12.","Sázejte na číslo od 1 do 12","Fogadjon 1-től 12-ig","1から12までの数字でベットする","投注1到12之间的一个数字","投注1到12之間的一個數字","chips",
"Chips","Chip Balance","Chip Balance","Chips","Jetons","Fichas","Fichas","Chips","Chipsy","Фишки","čipy","zsetonok","カジノチップ","赌场筹码","賭場籌碼",
"chips_use","Bet","Bet","Einsatz","Utilisation de copeaux","uso de chips","uso de chips","chip Utilizzare","chipy Używanie","Использовать фишки","Použití čipů","Chips használata","チップ使用","筹码使用","籌碼使用",
"bet_per_roll", "Bet per roll", "Bet per roll", "Einsatz pro Dreh","Utilisation par tour","Uso por turno","Uso por turno","Utilizzo per turno","Użycie na obrót","Использовать за оборот","Použijte na rotaci","Használjon forgatásonként","回転ごとに使用","每次使用","每次使用",
"close_game","Exit","Exit","genug gezockt","inférer","deducir","inferir","evincere","wnioskować","выход","zavřít","közel","近いです","关闭","關閉",
"desc_bet_dice","The win factor on this server is:","The win factor on this server is:","Dein Gewinnfaktor auf diesem Server ist:","Votre facteur de profit sur ce serveur est:","Su factor de ganancia en este servidor es:","O teu factor de lucro neste servidor é:","Il vostro fattore di profitto su questo server è:","Twój czynnik zysku na tym serwerze jest:","Ваш выигрыш на сервере составил:","A jövedelemtényező ezen a szerveren:","このサーバーでの利益要因は次のとおりです。","您在該服務器上的獲利因素是：","您在該服務器上的獲利因素是：",
"desc_black_jack","The normal blackjack rules apply.","The normal blackjack rules apply.","Es gelten die normalen Black Jack Regeln","Les règles normales du Black Jack s'appliquent.","Se aplican las reglas normales de Black Jack.","Aplicam-se as regras normais do Black Jack.","Si applicano le normali regole del Black Jack.","Obowiązują normalne zasady Black Jacka.","Применяются обычные правила игры в блэкджек.","Platí normální pravidla black jacku","A szokásos black jack-szabályok érvényesek","通常のブラックジャックルールが適用されます","正常二十一点规则适用","正常二十一點規則適用",
"desc_lucky_wheel"," Spin to win!"," Spin to win!","Dreh am Rad und finde dein Glück.","Tournez le volant et trouvez votre bonheur.","Gira la rueda y encuentra tu felicidad.","Vire a roda e encontre a sua felicidade.","Gira la ruota e trova la tua felicità.","Obróć koło i znajdź swoje szczęście.","Поверни колесо и найди свое счастье.","Otočte volantem a najděte své štěstí.","Forgassa el a kereket, és találja meg szerencséjét.","ホイールを回して、運を見つけます。","转动方向盘，找到自己的运气。","轉動方向盤，找到自己的運氣。",
"hint_can_open_game"," When near the game. Press the interact button. Default is F"," When near the game. Press the interact button. Default is F","In der Nähe eines Spiels. Drücke die spielen Taste. Standard ist F","Près d'un match. Appuyez sur la touche de lecture. La valeur par défaut est F","Cerca de un partido. Presione el botón de reproducción. El valor por defecto es F","Perto de um jogo. Pressione o botão de reprodução. O padrão é F","Vicino a una partita. Premere il pulsante play. Il valore predefinito è F","W pobliżu gry. Naciśnij przycisk odtwarzania. Domyślnie jest to F","Рядом с игрой. Нажмите кнопку воспроизведения. По умолчанию F","Blízko hry. Stiskněte tlačítko přehrávání. Výchozí hodnota je F","Egy játék közelében. Nyomja meg a lejátszás gombot. Alapértelmezés szerint F","ゲームの近く。 再生ボタンを押します。 デフォルトはF","靠近游戏。 按下播放按钮。 默认为F","靠近遊戲。 按下播放按鈕。 默認為F",
"hold_card","Hold Card","Hold Card","halten","carte de retenue","tarjeta de memoria","cartão de retenção","tenere la carta","karta do trzymania","достаточно","podržte kartu","hold kártya","ホールドカード","持卡","持卡",
"last_win","Last Winnings","Last Winnings","letzter Gewinn","dernière victoire","última ganancia","última vitória","ultima vittoria","ostatnia wygrana","последняя победа","poslední vítězství","utolsó győzelem","最後の勝利","最后的胜利","最後的勝利",
"lucky_wheel_head_line","Lucky Wheel","Lucky Wheel","Glücksrad","roue de la fortune","rueda de la fortuna","roda da fortuna","ruota della fortuna","koło fortuny","колесо фортуны","Kolo štěstí","Wheel of Fortune","運命の輪","命运之轮","命運之輪",
"lose_game","You lost, try again!","You lost, try again!","Verloren, probier es gleich noch einmal!","Perdu, réessayez maintenant !","Perdido, inténtalo de nuevo.","Perdido, tente novamente agora!","Perduto, riprovaci ora!","Zagubiony, spróbuj jeszcze raz!","Проигрыш, попробуйте еще раз!","Ztracené, zkuste to znovu!","Elveszett, próbáld újra!","失った、もう一度試してください！","迷路了，再试一次！","迷路了，再試一次！",
"next_card","Next Card","Next Card","nächste Karte","fiche suivante","siguiente tarjeta","próxima carta","prossima scheda","następna karta","еще карту","další karta","következő kártya","次のカード","下一张卡","下一張卡",
"new_game","New Game","New Game","neues Spiel","nouvelle partie","nuevo juego","novo jogo","nuovo gioco","nowa gra","новая игра","nová hra","új játék","新しいゲーム","新游戏","新遊戲",
"Not_enough_chips_available"," Not enough chips available"," Not enough chips available","Nicht genug Chips vorhanden","Pas assez de jetons disponibles","No hay suficientes chips disponibles","Não há fichas suficientes disponíveis","Non ci sono abbastanza chip disponibili","Niewystarczająca ilość dostępnych żetonów","Недостаточно фишек в наличии","Není k dispozici dostatek čipů","Nincs elég zseton","十分なチップが利用できません","没有足够的芯片","沒有足夠的芯片",
"roll_dice"," Roll The Dice"," Roll The Dice","würfeln","dés à lancer","tirar los dados","lançar dados","lanciare dadi","rzucać kostkami","кидать кости","kostky","dobókocka","サイコロ","骰子","骰子",
"select_number","Choose your number","Choose your number","Wähle eine Zahl","Choisissez un numéro","Elija un número","Escolha um número","Scegliere un numero","Wybierz liczbę","Выберите номер","Vyberte číslo","Válasszon egy számot","番号を選択してください","选择一个号码","選擇一個號碼",
"roll_wheel","Spin","Spin","drehen","kyrielle","serie","trenó","sfilza","zabity","поворот","otočení","fordulat","ターン","转","轉",
"jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Premio Mayor","Jackpot","Jackpot","Jackpot","Джекпот","jackpot","főnyeremény","ジャックポット","头奖","頭獎",
"start_race", "Start Race", "Start Race", "Starte Rennen", "Départ course", "estreno", "lançamento", "scagliarsi","wypuszczenie", "запуск","Rajt", "開始","开始","開始",
