"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"welcome","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,","Welcome Back,"
"play","Play","Play","Play","Play","Play","Play","Play","Play","Play","Play","Play","Play","Play","Play"
"Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers","Servers"
"forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums","Forums"
"settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings"
"exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit","Exit"
"stable","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE","STABLE"
"experimental","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL","EXPERIMENTAL"
"respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn","Respawn"
"continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue"
"exiting","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon","Exiting Soon"
"position","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: ","Position in Queue: "
